All unique Region variations,Normalized Region,Region Code
Atlanta,Atlanta,ATL
Austin,Austin,AUS
Boston,Boston,BOS
Chicago,Chicago,CHI
East Bay,East Bay,EBA
Houston,Houston,HOU
London,London,LON
Los Angeles,Los Angeles,LAX
Marin,Marin County,MAR
Marin County,Marin County,MAR
Mexico City,Mexico City,MEX
Nairobi,Nairobi,NBO
Napa Sonoma,Napa-Sonoma,NAP
Napa/Sonoma,Napa-Sonoma,NAP
Napa-Sonoma,Napa-Sonoma,NAP
New York,New York,NYC
None of these.,None of these.,NON
Peninsula,Peninsula,PSA
San Diego,San Diego,SAN
San Francisco,San Francisco,SFO
Sao Paulo,Sao Paulo,SPO
Ṣo Paulo,Sao Paulo,SPO
Seattle,Seattle,SEA
Shanghai,Shanghai,SHA
Singapore,Singapore,SIN
South Florida,South Florida,SFL
Virtual-Only Americas,Virtual-Only Americas,AM
Virtual-Only APAC+EMEA,Virtual-Only APAC+EMEA,AE
Washington DC,Washington DC,WDC
